Name,Email Address,Nickname,Home Address,Password,Salt,Birthdate,Phone Number,Store ID,Gender,Account Type,Branch
José Clarke,kendrabest760@tridenttreats.bb,ken41,"36 Grazettes Main Road, St. Philip, Barbados",n](l.2edlB,oGMbJmTP,1999-09-14,246-425-8359,1603,Female,Standard,Oistins
Zoë Callender,aliciajordan285@bdsconnect.bb,ali37,"27 Bank Hall, St. Philip, Barbados",lWmTS:Hf~6,Ih7yfJs1,1995-10-28,246-570-4150,1721,Male,Standard,Oistins
Renée Best,omarholder876@bdsconnect.bb,oma22,"72 Country Road, St. Philip, Barbados",6>UuVTA\I`,7RPeMOkI,2001-04-06,246-673-7216,1276,Other,Staff,Six Roads
François Holder,devinjordan864@caribmail.com,dev39,"207 Atlantic Shores, St. Philip, Barbados",OZIiB+|OB@,Fz46PDjq,1963-04-24,246-774-9830,1269,Other,Staff,Wildey
Mårlon Forde,mårlongittens371@bdsconnect.bb,mår27,"127 Two Mile Hill, St. Philip, Barbados",lgot=u^2/i,yyMDHqJ3,1955-11-24,246-317-9797,1768,Female,Staff,Speightstown
Kendra Browne,kendrabrowne446@bdsconnect.bb,ken68,"245 Atlantic Shores, St. Philip, Barbados",}}H#w#n=M>,GMmjxWkI,2004-09-01,246-813-6310,1500,Male,Standard,Speightstown
Omar Hinds,omarhinds60@bdsconnect.bb,oma82,"22 Silver Sands, St. Philip, Barbados",~!i'qq[8)v,qH3MB9n7,1989-12-23,246-405-6107,1408,Other,Staff,Speightstown
Renée Prescod,renéeprescod124@bdsconnect.bb,ren38,"87 Silver Sands, St. Philip, Barbados",c.)D.Caj{=,doe5c3ve,1987-04-09,246-885-8953,1219,Other,Standard,Six Roads
Mårlon Toppin,mårlontoppin249@islandshop.net,mår62,"25 Grazettes Main Road, St. Philip, Barbados",m[3T207~g],PPgdzUvZ,1961-04-07,246-394-9786,1459,Male,Premium,Oistins
Latoya Prescod,user@dom-ain.com,lat66,"26 Two Mile Hill, St. Philip, Barbados",g@(blEv0!9,n3z5dkya,1979-05-26,246-665-5673,1433,Other,Staff,Six Roads
Zoë Callender,zoëcallender195@tridenttreats.bb,zoë37,"149 Atlantic Shores, St. Philip, Barbados",(hOhg-9#&u,d9Gf2leM,1959-11-28,246-440-7615,1122,Other,Standard,Six Roads
Łukasz Clarke,łukaszclarke635@caribmail.com,łuk63,"150 St. Philip, St. Philip, Barbados",+%OHA\|OEH,ziQPtDu7,2003-02-01,246-669-2638,1075,Other,Standard,Six Roads
Latoya Callender,latoyacallender956@tridenttreats.bb,lat18,"95 Grazettes Main Road, St. Philip, Barbados",Ku4({M;@&b,Q0Jt7Qg8,1963-05-04,246-309-3546,1278,Female,Staff,Oistins
Keisha Forde,keishaforde704@tridenttreats.bb,kei74,"65 Bay Street, St. Philip, Barbados",gl>2JfaQq>,qkVCJTBJ,1955-02-03,246-352-9938,1036,Female,Staff,Six Roads
Rashida Harewood,rashidaharewood131@caribmail.com,ras49,"231 Bank Hall, St. Philip, Barbados",fTA^F\nT*0,NVj77p3k,2006-03-14,246-225-3938,1754,Female,Premium,Oistins
Latoya Griffith,latoyagriffith807@caribmail.com,lat58,"220 Atlantic Shores, St. Philip, Barbados",8Cz6SNDCd[,mzvr3e9X,1972-06-21,246-721-7548,1695,Other,Premium,Bridgetown
Kendra Alleyne,user@domain,ken14,"153 Silver Sands, St. Philip, Barbados","3S~O3:$oX,",mqcTBaH7,2006-09-22,246-886-4228,1372,Female,Standard,Speightstown
Łukasz Jordan,łukaszjordan680@caribmail.com,łuk48,"80 Two Mile Hill, St. Philip, Barbados",\0PZ`L)qy1,Q8yRV5lN,1991-05-13,246-761-1006,1311,Female,Standard,Wildey
Mårlon Jordan,mårlonjordan477@islandshop.net,mår66,"55 St. Philip, St. Philip, Barbados",$8v[kK$[><,vf08WpRt,1969-04-05,246-225-1757,1250,Female,Staff,Bridgetown
